Date,Rating,Ticker
21-Jul-20,5,bdx
28-Apr-20,2,bdx
06-Oct-19,4,bdx
20-Sep-18,1,bdx
26-Feb-18,3,bdx
17-Jul-17,5,bdx
28-Aug-16,1,bdx
27-Feb-15,1,bdx
28-Nov-14,3,bdx
28-Oct-14,1,bdx
10-May-14,5,bdx
04-Jan-14,4,bdx
15-Jun-10,5,bdx
09-Jun-10,5,bdx
25-Sep-08,4,bdx
04-Nov-20,4,bdx
03-Nov-20,4,bdx
02-Nov-20,5,bdx
02-Nov-20,5,bdx
02-Nov-20,5,bdx
01-Nov-20,5,bdx
29-Oct-20,5,bdx
29-Oct-20,5,bdx
10-Nov-20,2,bdx
27-Oct-20,4,bdx
09-Nov-20,3,bdx
24-Oct-20,5,bdx
21-Oct-20,5,bdx
21-Oct-20,5,bdx
21-Oct-20,4,bdx
19-Oct-20,5,bdx
16-Oct-20,5,bdx
16-Oct-20,4,bdx
25-Oct-20,3,bdx
15-Oct-20,5,bdx
15-Oct-20,4,bdx
06-Oct-20,5,bdx
09-Oct-20,4,bdx
09-Oct-20,5,bdx
07-Oct-20,4,bdx
08-Oct-20,4,bdx
05-Oct-20,4,bdx
03-Oct-20,4,bdx
18-Oct-20,2,bdx
15-Oct-20,3,bdx
15-Oct-20,3,bdx
30-Sep-20,4,bdx
27-Sep-20,4,bdx
26-Sep-20,4,bdx
05-Oct-20,3,bdx
23-Sep-20,5,bdx
23-Sep-20,5,bdx
23-Sep-20,5,bdx
07-Oct-20,3,bdx
05-Oct-20,3,bdx
04-Oct-20,3,bdx
03-Oct-20,2,bdx
17-Sep-20,4,bdx
18-Sep-20,4,bdx
17-Sep-20,5,bdx
16-Sep-20,5,bdx
29-Sep-20,3,bdx
08-Sep-20,5,bdx
23-Sep-20,3,bdx
08-Sep-20,4,bdx
06-Sep-20,4,bdx
08-Oct-20,1,bdx
05-Sep-20,5,bdx
17-Sep-20,2,bdx
10-Oct-20,1,bdx
18-Sep-20,3,bdx
29-Aug-20,4,bdx
07-Oct-20,1,bdx
01-Sep-20,4,bdx
03-Oct-20,1,bdx
28-Aug-20,5,bdx
28-Aug-20,5,bdx
28-Aug-20,4,bdx
09-Sep-20,2,bdx
26-Aug-20,4,bdx
27-Aug-20,4,bdx
26-Aug-20,5,bdx
