Date	Rating	Ticker
21-Jul-20	5	bdx
28-Apr-20	2	bdx
06-Oct-19	4	bdx
20-Sep-18	1	bdx
26-Feb-18	3	bdx
17-Jul-17	5	bdx
28-Aug-16	1	bdx
27-Feb-15	1	bdx
28-Nov-14	3	bdx
28-Oct-14	1	bdx
13-Jan-20	5	bdx
13-Jan-20	5	bdx
10-Jan-20	5	bdx
10-Jan-20	4	bdx
23-Jan-20	3	bdx
01-Jan-20	5	bdx
04-Feb-20	1	bdx
18-Jan-20	3	bdx
06-Feb-20	1	bdx
30-Dec-19	5	bdx
27-Jun-18	5	bdx
26-Jun-18	4	bdx
27-Jun-18	3	bdx
29-Jun-18	3	bdx
17-Jul-18	1	bdx
15-Jun-18	2	bdx
08-Jun-18	4	bdx
04-Jun-18	4	bdx
19-Jun-18	3	bdx
17-Jun-18	3	bdx
06-Mar-17	1	bdx
17-Jan-17	5	bdx
30-Jan-17	4	bdx
31-Jan-17	4	bdx
02-Feb-17	3	bdx
27-Jan-17	4	bdx
25-Jan-17	4	bdx
25-Feb-17	1	bdx
31-Jan-17	2	bdx
18-Jan-17	4	bdx
01-Feb-16	1	bdx
06-Jan-16	2	bdx
29-Dec-15	2	bdx
22-Jan-16	1	bdx
01-Jan-16	3	bdx
15-Dec-15	4	bdx
15-Dec-15	5	bdx
14-Dec-15	4	bdx
26-Dec-15	3	bdx
09-Dec-15	4	bdx
04-Feb-14	3	bdx
21-Feb-14	1	bdx
16-Jan-14	4	bdx
06-Feb-14	1	bdx
13-Jan-14	3	bdx
28-Dec-13	4	bdx
26-Dec-13	4	bdx
16-Dec-13	4	bdx
15-Dec-13	3	bdx
24-Nov-13	5	bdx
21-Oct-20	5	brk
23-Oct-20	4	brk
05-Oct-20	5	brk
11-Oct-20	4	brk
10-Oct-20	3	brk
22-Sep-20	5	brk
05-Oct-20	4	brk
16-Sep-20	5	brk
16-Sep-20	5	brk
25-Sep-20	4	brk
10-Feb-20	5	brk
20-Feb-20	3	brk
10-Mar-20	1	brk
31-Jan-20	5	brk
30-Jan-20	5	brk
12-Jan-20	5	brk
29-Jan-20	4	brk
27-Jan-20	3	brk
04-Feb-20	1	brk
12-Jan-20	4	brk
21-Feb-19	5	brk
06-Mar-19	4	brk
04-Mar-19	3	brk
08-Feb-19	4	brk
